Learning rate,Momentum,Mean test error
0.1,0.0,0.0477
0.1,0.5,0.04555
0.1,0.9,0.09390000000000001
0.01,0.0,0.23290000000000005
0.01,0.5,0.11234999999999999
0.01,0.9,0.02679999999999998
0.001,0.0,0.24350000000000005
0.001,0.5,0.24350000000000005
0.001,0.9,0.22685000000000005
