Error,Epocas,Class
0.23162499999999991,0,Train error
0.24550000000000005,0,Validation error
0.2239,0,Test error
0.21912499999999996,50,Train error
0.23100000000000004,50,Validation error
0.21230000000000002,50,Test error
0.22274999999999995,100,Train error
0.23650000000000002,100,Validation error
0.2142,100,Test error
0.21862499999999999,150,Train error
0.22800000000000004,150,Validation error
0.21060000000000004,150,Test error
0.2045,200,Train error
0.215,200,Validation error
0.1951,200,Test error
0.203375,250,Train error
0.21949999999999997,250,Validation error
0.19255,250,Test error
0.196625,300,Train error
0.217,300,Validation error
0.18705000000000002,300,Test error
0.190625,350,Train error
0.20649999999999996,350,Validation error
0.18100000000000002,350,Test error
0.182125,400,Train error
0.19699999999999998,400,Validation error
0.17469999999999997,400,Test error
0.18075000000000002,450,Train error
0.195,450,Validation error
0.17165,450,Test error
0.176875,500,Train error
0.18650000000000003,500,Validation error
0.16565,500,Test error
0.16275,550,Train error
0.168,550,Validation error
0.15145,550,Test error
0.157375,600,Train error
0.1665,600,Validation error
0.14835000000000004,600,Test error
0.14412499999999998,650,Train error
0.15799999999999997,650,Validation error
0.13620000000000002,650,Test error
0.14075,700,Train error
0.15199999999999997,700,Validation error
0.13615,700,Test error
0.13724999999999998,750,Train error
0.14100000000000001,750,Validation error
0.13015000000000002,750,Test error
0.13924999999999996,800,Train error
0.15350000000000003,800,Validation error
0.1315,800,Test error
0.13512500000000002,850,Train error
0.14550000000000002,850,Validation error
0.12589999999999998,850,Test error
0.134875,900,Train error
0.14600000000000002,900,Validation error
0.12789999999999999,900,Test error
0.131,950,Train error
0.14149999999999996,950,Validation error
0.12505000000000002,950,Test error
0.13287500000000002,1000,Train error
0.14650000000000002,1000,Validation error
0.1234,1000,Test error
0.13362499999999997,1050,Train error
0.1445,1050,Validation error
0.1286,1050,Test error
0.12849999999999998,1100,Train error
0.1365,1100,Validation error
0.12090000000000001,1100,Test error
0.12074999999999998,1150,Train error
0.127,1150,Validation error
0.11305000000000001,1150,Test error
0.12175,1200,Train error
0.1335,1200,Validation error
0.11164999999999999,1200,Test error
0.10725000000000003,1250,Train error
0.11199999999999999,1250,Validation error
0.10299999999999998,1250,Test error
0.11075000000000002,1300,Train error
0.11799999999999997,1300,Validation error
0.1056,1300,Test error
0.11025,1350,Train error
0.11950000000000002,1350,Validation error
0.10564999999999998,1350,Test error
0.10674999999999998,1400,Train error
0.11000000000000001,1400,Validation error
0.10124999999999998,1400,Test error
0.108375,1450,Train error
0.11950000000000002,1450,Validation error
0.10289999999999999,1450,Test error
0.106375,1500,Train error
0.10699999999999998,1500,Validation error
0.09914999999999999,1500,Test error
0.11087500000000002,1550,Train error
0.11299999999999999,1550,Validation error
0.10459999999999998,1550,Test error
0.111375,1600,Train error
0.1285,1600,Validation error
0.10699999999999998,1600,Test error
0.10637499999999997,1650,Train error
0.11699999999999999,1650,Validation error
0.10059999999999998,1650,Test error
0.10499999999999998,1700,Train error
0.11150000000000002,1700,Validation error
0.10044999999999997,1700,Test error
0.10575000000000001,1750,Train error
0.11099999999999999,1750,Validation error
0.10064999999999999,1750,Test error
0.11012499999999999,1800,Train error
0.11749999999999998,1800,Validation error
0.10214999999999996,1800,Test error
0.104375,1850,Train error
0.11200000000000002,1850,Validation error
0.09835,1850,Test error
0.10625,1900,Train error
0.10499999999999998,1900,Validation error
0.09969999999999998,1900,Test error
0.104625,1950,Train error
0.11000000000000001,1950,Validation error
0.09805000000000001,1950,Test error
0.10512500000000002,2000,Train error
0.11300000000000002,2000,Validation error
0.10005,2000,Test error
0.11000000000000001,2050,Train error
0.118,2050,Validation error
0.1049,2050,Test error
0.107125,2100,Train error
0.10699999999999998,2100,Validation error
0.10114999999999999,2100,Test error
0.10574999999999998,2150,Train error
0.10999999999999999,2150,Validation error
0.09955,2150,Test error
0.10650000000000004,2200,Train error
0.10999999999999999,2200,Validation error
0.1008,2200,Test error
0.10925000000000003,2250,Train error
0.11699999999999999,2250,Validation error
0.09925,2250,Test error
0.10900000000000001,2300,Train error
0.11350000000000002,2300,Validation error
0.10279999999999997,2300,Test error
0.10525,2350,Train error
0.11300000000000002,2350,Validation error
0.099,2350,Test error
0.103625,2400,Train error
0.11000000000000001,2400,Validation error
0.09805,2400,Test error
0.105375,2450,Train error
0.11100000000000002,2450,Validation error
0.10095000000000001,2450,Test error
0.10774999999999998,2500,Train error
0.11850000000000001,2500,Validation error
0.09904999999999997,2500,Test error
0.10474999999999998,2550,Train error
0.11800000000000002,2550,Validation error
0.10234999999999998,2550,Test error
0.10812500000000003,2600,Train error
0.1165,2600,Validation error
0.10129999999999999,2600,Test error
0.104125,2650,Train error
0.1105,2650,Validation error
0.09989999999999997,2650,Test error
0.10312499999999998,2700,Train error
0.10599999999999998,2700,Validation error
0.09749999999999999,2700,Test error
0.10800000000000001,2750,Train error
0.12149999999999998,2750,Validation error
0.10314999999999999,2750,Test error
0.103375,2800,Train error
0.10399999999999998,2800,Validation error
0.09805,2800,Test error
0.10487500000000001,2850,Train error
0.1085,2850,Validation error
0.09955,2850,Test error
0.10725000000000003,2900,Train error
0.11750000000000002,2900,Validation error
0.10114999999999999,2900,Test error
0.10425,2950,Train error
0.11349999999999998,2950,Validation error
0.09809999999999997,2950,Test error
0.10187499999999998,3000,Train error
0.11499999999999999,3000,Validation error
0.09615,3000,Test error
0.096,3050,Train error
0.11000000000000001,3050,Validation error
0.09105,3050,Test error
0.09437499999999999,3100,Train error
0.1075,3100,Validation error
0.0913,3100,Test error
0.09962499999999999,3150,Train error
0.1115,3150,Validation error
0.09439999999999998,3150,Test error
0.09675000000000002,3200,Train error
0.10900000000000003,3200,Validation error
0.0925,3200,Test error
0.099,3250,Train error
0.1115,3250,Validation error
0.09334999999999999,3250,Test error
0.10012499999999999,3300,Train error
0.11200000000000002,3300,Validation error
0.09474999999999997,3300,Test error
0.09674999999999999,3350,Train error
0.10499999999999998,3350,Validation error
0.09305,3350,Test error
0.10037499999999999,3400,Train error
0.11950000000000002,3400,Validation error
0.09375,3400,Test error
0.09512500000000002,3450,Train error
0.10900000000000001,3450,Validation error
0.09275,3450,Test error
0.096875,3500,Train error
0.10600000000000001,3500,Validation error
0.0944,3500,Test error
0.09474999999999999,3550,Train error
0.10450000000000001,3550,Validation error
0.09065,3550,Test error
0.09587499999999999,3600,Train error
0.10600000000000001,3600,Validation error
0.09394999999999999,3600,Test error
0.097875,3650,Train error
0.10850000000000001,3650,Validation error
0.09319999999999998,3650,Test error
0.09574999999999999,3700,Train error
0.1085,3700,Validation error
0.0899,3700,Test error
0.09325,3750,Train error
0.10300000000000002,3750,Validation error
0.08984999999999999,3750,Test error
0.09375000000000001,3800,Train error
0.10250000000000001,3800,Validation error
0.08755,3800,Test error
0.0905,3850,Train error
0.0985,3850,Validation error
0.08295000000000001,3850,Test error
0.09100000000000001,3900,Train error
0.097,3900,Validation error
0.08404999999999999,3900,Test error
0.09274999999999999,3950,Train error
0.10350000000000001,3950,Validation error
0.0864,3950,Test error
0.09125000000000001,4000,Train error
0.10300000000000001,4000,Validation error
0.08729999999999999,4000,Test error
0.08937499999999998,4050,Train error
0.096,4050,Validation error
0.08470000000000001,4050,Test error
0.08974999999999998,4100,Train error
0.1005,4100,Validation error
0.08405,4100,Test error
0.098,4150,Train error
0.10750000000000001,4150,Validation error
0.09069999999999999,4150,Test error
0.089,4200,Train error
0.0985,4200,Validation error
0.0865,4200,Test error
0.09262499999999999,4250,Train error
0.10250000000000001,4250,Validation error
0.08724999999999998,4250,Test error
0.093375,4300,Train error
0.10350000000000001,4300,Validation error
0.09025,4300,Test error
0.089,4350,Train error
0.0985,4350,Validation error
0.08259999999999999,4350,Test error
0.0895,4400,Train error
0.0965,4400,Validation error
0.08320000000000001,4400,Test error
0.09112500000000001,4450,Train error
0.1005,4450,Validation error
0.0868,4450,Test error
0.089375,4500,Train error
0.09550000000000002,4500,Validation error
0.0829,4500,Test error
0.09087500000000001,4550,Train error
0.1065,4550,Validation error
0.0837,4550,Test error
