Gamma,Train error,Test error
1e-06,0.00911995524577035,0.008319797380395516
1e-05,0.008217782004089319,0.00769829384736279
0.0001,0.009084963890247879,0.008254988915391285
0.001,0.00925067332962568,0.008632214467220595
0.01,0.024287242255427548,0.021941375051470334
0.1,0.04250875596181062,0.03818269294960787
1.0,0.045570111930177896,0.04384671661591227
