Error,d,Class
0.03600000000000003,4,ANN - Train parallel
0.14,4,ANN - Test parallel
0.04800000000000004,4,ANN - Train diagonal
0.12070000000000003,4,ANN - Test diagonal
0.04400000000000004,4,ANN - Train parallel
0.15710000000000002,4,ANN - Test parallel
0.01200000000000001,4,ANN - Train diagonal
0.13780000000000003,4,ANN - Test diagonal
0.02400000000000002,4,ANN - Train parallel
0.12150000000000005,4,ANN - Test parallel
0.028000000000000025,8,ANN - Train diagonal
0.15139999999999998,8,ANN - Test diagonal
0.0,8,ANN - Train parallel
0.15290000000000004,8,ANN - Test parallel
0.02400000000000002,8,ANN - Train diagonal
0.13839999999999997,8,ANN - Test diagonal
0.0040000000000000036,8,ANN - Train parallel
0.14570000000000005,8,ANN - Test parallel
0.020000000000000018,8,ANN - Train diagonal
0.14180000000000004,8,ANN - Test diagonal
0.0,8,ANN - Train parallel
0.14259999999999995,8,ANN - Test parallel
0.0040000000000000036,8,ANN - Train diagonal
0.12239999999999995,8,ANN - Test diagonal
0.0,8,ANN - Train parallel
0.1381,8,ANN - Test parallel
0.01200000000000001,8,ANN - Train diagonal
0.1552,8,ANN - Test diagonal
0.0040000000000000036,8,ANN - Train parallel
0.1602,8,ANN - Test parallel
0.028000000000000025,8,ANN - Train diagonal
0.13739999999999997,8,ANN - Test diagonal
0.0040000000000000036,8,ANN - Train parallel
0.13839999999999997,8,ANN - Test parallel
0.016000000000000014,8,ANN - Train diagonal
0.15780000000000005,8,ANN - Test diagonal
0.0040000000000000036,8,ANN - Train parallel
0.13029999999999997,8,ANN - Test parallel
0.008000000000000007,8,ANN - Train diagonal
0.12260000000000004,8,ANN - Test diagonal
0.0,8,ANN - Train parallel
0.16269999999999996,8,ANN - Test parallel
0.008000000000000007,8,ANN - Train diagonal
0.12960000000000005,8,ANN - Test diagonal
0.0,8,ANN - Train parallel
0.14849999999999997,8,ANN - Test parallel
0.01200000000000001,8,ANN - Train diagonal
0.13280000000000003,8,ANN - Test diagonal
0.0,8,ANN - Train parallel
0.14859999999999995,8,ANN - Test parallel
0.016000000000000014,8,ANN - Train diagonal
0.12919999999999998,8,ANN - Test diagonal
0.0,8,ANN - Train parallel
0.1744,8,ANN - Test parallel
0.0,8,ANN - Train diagonal
0.1441,8,ANN - Test diagonal
0.0040000000000000036,8,ANN - Train parallel
0.17079999999999995,8,ANN - Test parallel
0.020000000000000018,8,ANN - Train diagonal
0.13739999999999997,8,ANN - Test diagonal
0.0,8,ANN - Train parallel
0.1532,8,ANN - Test parallel
0.016000000000000014,8,ANN - Train diagonal
0.15610000000000002,8,ANN - Test diagonal
0.008000000000000007,8,ANN - Train parallel
0.14800000000000002,8,ANN - Test parallel
0.0040000000000000036,8,ANN - Train diagonal
0.12670000000000003,8,ANN - Test diagonal
0.0,8,ANN - Train parallel
0.1634,8,ANN - Test parallel
0.028000000000000025,8,ANN - Train diagonal
0.12470000000000003,8,ANN - Test diagonal
0.0040000000000000036,8,ANN - Train parallel
0.15300000000000002,8,ANN - Test parallel
0.03200000000000003,8,ANN - Train diagonal
0.126,8,ANN - Test diagonal
0.0,8,ANN - Train parallel
0.19110000000000005,8,ANN - Test parallel
0.0040000000000000036,8,ANN - Train diagonal
0.13319999999999999,8,ANN - Test diagonal
0.0040000000000000036,8,ANN - Train parallel
0.136,8,ANN - Test parallel
0.02400000000000002,8,ANN - Train diagonal
0.1552,8,ANN - Test diagonal
0.0040000000000000036,8,ANN - Train parallel
0.15259999999999996,8,ANN - Test parallel
0.02400000000000002,8,ANN - Train diagonal
0.12529999999999997,8,ANN - Test diagonal
0.0,8,ANN - Train parallel
0.15669999999999995,8,ANN - Test parallel
0.008000000000000007,16,ANN - Train diagonal
0.1492,16,ANN - Test diagonal
0.0,16,ANN - Train parallel
0.16479999999999995,16,ANN - Test parallel
0.0,16,ANN - Train diagonal
0.14770000000000005,16,ANN - Test diagonal
0.008000000000000007,16,ANN - Train parallel
0.1381,16,ANN - Test parallel
0.0,16,ANN - Train diagonal
0.15859999999999996,16,ANN - Test diagonal
0.0,16,ANN - Train parallel
0.17220000000000002,16,ANN - Test parallel
0.0040000000000000036,16,ANN - Train diagonal
0.13570000000000004,16,ANN - Test diagonal
0.0,16,ANN - Train parallel
0.14780000000000004,16,ANN - Test parallel
0.020000000000000018,16,ANN - Train diagonal
0.12290000000000001,16,ANN - Test diagonal
0.0,16,ANN - Train parallel
0.15590000000000004,16,ANN - Test parallel
0.0,16,ANN - Train diagonal
0.1451,16,ANN - Test diagonal
0.0,16,ANN - Train parallel
0.136,16,ANN - Test parallel
0.0040000000000000036,16,ANN - Train diagonal
0.14959999999999996,16,ANN - Test diagonal
0.0,16,ANN - Train parallel
0.14670000000000005,16,ANN - Test parallel
0.0,16,ANN - Train diagonal
0.12019999999999997,16,ANN - Test diagonal
0.0,16,ANN - Train parallel
0.15949999999999998,16,ANN - Test parallel
0.008000000000000007,16,ANN - Train diagonal
0.13270000000000004,16,ANN - Test diagonal
0.0,16,ANN - Train parallel
0.13360000000000005,16,ANN - Test parallel
0.01200000000000001,16,ANN - Train diagonal
0.1279,16,ANN - Test diagonal
0.0,16,ANN - Train parallel
0.13990000000000002,16,ANN - Test parallel
0.008000000000000007,16,ANN - Train diagonal
0.13249999999999995,16,ANN - Test diagonal
0.0,16,ANN - Train parallel
0.13360000000000005,16,ANN - Test parallel
0.0,16,ANN - Train diagonal
0.12729999999999997,16,ANN - Test diagonal
0.0040000000000000036,16,ANN - Train parallel
0.14539999999999997,16,ANN - Test parallel
0.0,16,ANN - Train diagonal
0.14170000000000005,16,ANN - Test diagonal
0.0,16,ANN - Train parallel
0.134,16,ANN - Test parallel
0.008000000000000007,16,ANN - Train diagonal
0.12380000000000002,16,ANN - Test diagonal
0.0,16,ANN - Train parallel
0.14939999999999998,16,ANN - Test parallel
0.008000000000000007,16,ANN - Train diagonal
0.1279,16,ANN - Test diagonal
0.0,16,ANN - Train parallel
0.13880000000000003,16,ANN - Test parallel
0.0,16,ANN - Train diagonal
0.15439999999999998,16,ANN - Test diagonal
0.0,16,ANN - Train parallel
0.15690000000000004,16,ANN - Test parallel
0.008000000000000007,16,ANN - Train diagonal
0.15490000000000004,16,ANN - Test diagonal
0.0,16,ANN - Train parallel
0.14329999999999998,16,ANN - Test parallel
0.016000000000000014,16,ANN - Train diagonal
0.13070000000000004,16,ANN - Test diagonal
0.0,16,ANN - Train parallel
0.1522,16,ANN - Test parallel
0.0,16,ANN - Train diagonal
0.129,16,ANN - Test diagonal
0.0,16,ANN - Train parallel
0.1331,16,ANN - Test parallel
0.008000000000000007,16,ANN - Train diagonal
0.14549999999999996,16,ANN - Test diagonal
0.0040000000000000036,16,ANN - Train parallel
0.1481,16,ANN - Test parallel
0.0,32,ANN - Train diagonal
0.15410000000000001,32,ANN - Test diagonal
0.0,32,ANN - Train parallel
0.13839999999999997,32,ANN - Test parallel
0.016000000000000014,32,ANN - Train diagonal
0.12880000000000003,32,ANN - Test diagonal
0.0,32,ANN - Train parallel
0.13929999999999998,32,ANN - Test parallel
0.0,32,ANN - Train diagonal
0.1521,32,ANN - Test diagonal
0.0,32,ANN - Train parallel
0.14470000000000005,32,ANN - Test parallel
0.0,32,ANN - Train diagonal
0.1251,32,ANN - Test diagonal
0.0,32,ANN - Train parallel
0.15610000000000002,32,ANN - Test parallel
0.04400000000000004,32,ANN - Train diagonal
0.14849999999999997,32,ANN - Test diagonal
0.0,32,ANN - Train parallel
0.14759999999999995,32,ANN - Test parallel
0.0,32,ANN - Train diagonal
0.12570000000000003,32,ANN - Test diagonal
0.0,32,ANN - Train parallel
0.15359999999999996,32,ANN - Test parallel
0.01200000000000001,32,ANN - Train diagonal
0.13990000000000002,32,ANN - Test diagonal
0.0,32,ANN - Train parallel
0.15269999999999995,32,ANN - Test parallel
0.020000000000000018,32,ANN - Train diagonal
0.12749999999999995,32,ANN - Test diagonal
0.0,32,ANN - Train parallel
0.14600000000000002,32,ANN - Test parallel
0.0,32,ANN - Train diagonal
0.13890000000000002,32,ANN - Test diagonal
0.0,32,ANN - Train parallel
0.13560000000000005,32,ANN - Test parallel
0.0,32,ANN - Train diagonal
0.12519999999999998,32,ANN - Test diagonal
0.0,32,ANN - Train parallel
0.1644,32,ANN - Test parallel
0.02400000000000002,32,ANN - Train diagonal
0.13390000000000002,32,ANN - Test diagonal
0.0,32,ANN - Train parallel
0.14549999999999996,32,ANN - Test parallel
0.02400000000000002,32,ANN - Train diagonal
0.12980000000000003,32,ANN - Test diagonal
0.0,32,ANN - Train parallel
0.1773,32,ANN - Test parallel
0.0,32,ANN - Train diagonal
0.1421,32,ANN - Test diagonal
0.0,32,ANN - Train parallel
0.13029999999999997,32,ANN - Test parallel
0.0,32,ANN - Train diagonal
