Error,d,Class
0.10050000000000003,4,Gaussian NB - Test parallel
0.09199999999999997,4,Gaussian NB - Train diagonal
0.10040000000000004,4,Gaussian NB - Test diagonal
0.08799999999999997,4,Gaussian NB - Train parallel
0.10170000000000001,4,Gaussian NB - Test parallel
0.09599999999999997,4,Gaussian NB - Train diagonal
0.09709999999999996,4,Gaussian NB - Test diagonal
0.11599999999999999,4,Gaussian NB - Train parallel
0.10289999999999999,4,Gaussian NB - Test parallel
0.07999999999999996,4,Gaussian NB - Train diagonal
0.10029999999999994,4,Gaussian NB - Test diagonal
0.07199999999999995,4,Gaussian NB - Train parallel
0.10470000000000002,4,Gaussian NB - Test parallel
0.124,4,Gaussian NB - Train diagonal
0.09640000000000004,4,Gaussian NB - Test diagonal
0.08799999999999997,4,Gaussian NB - Train parallel
0.09960000000000002,4,Gaussian NB - Test parallel
0.09199999999999997,4,Gaussian NB - Train diagonal
0.09919999999999995,4,Gaussian NB - Test diagonal
0.07999999999999996,4,Gaussian NB - Train parallel
0.10129999999999995,4,Gaussian NB - Test parallel
0.07599999999999996,4,Gaussian NB - Train diagonal
0.09989999999999999,4,Gaussian NB - Test diagonal
0.124,4,Gaussian NB - Train parallel
0.10699999999999998,4,Gaussian NB - Test parallel
0.08799999999999997,4,Gaussian NB - Train diagonal
0.09760000000000002,4,Gaussian NB - Test diagonal
0.10799999999999998,4,Gaussian NB - Train parallel
0.1018,4,Gaussian NB - Test parallel
0.06799999999999995,4,Gaussian NB - Train diagonal
0.1018,4,Gaussian NB - Test diagonal
0.128,4,Gaussian NB - Train parallel
0.10260000000000002,4,Gaussian NB - Test parallel
0.11599999999999999,8,Gaussian NB - Train diagonal
0.10499999999999998,8,Gaussian NB - Test diagonal
0.11599999999999999,8,Gaussian NB - Train parallel
0.10840000000000005,8,Gaussian NB - Test parallel
0.09599999999999997,8,Gaussian NB - Train diagonal
0.1048,8,Gaussian NB - Test diagonal
0.10399999999999998,8,Gaussian NB - Train parallel
0.10809999999999997,8,Gaussian NB - Test parallel
0.07599999999999996,8,Gaussian NB - Train diagonal
0.10470000000000002,8,Gaussian NB - Test diagonal
0.08399999999999996,8,Gaussian NB - Train parallel
0.10909999999999997,8,Gaussian NB - Test parallel
0.10799999999999998,8,Gaussian NB - Train diagonal
0.10289999999999999,8,Gaussian NB - Test diagonal
0.11599999999999999,8,Gaussian NB - Train parallel
0.10550000000000004,8,Gaussian NB - Test parallel
0.09999999999999998,8,Gaussian NB - Train diagonal
0.10250000000000004,8,Gaussian NB - Test diagonal
0.07599999999999996,8,Gaussian NB - Train parallel
0.11180000000000001,8,Gaussian NB - Test parallel
0.11599999999999999,8,Gaussian NB - Train diagonal
0.10270000000000001,8,Gaussian NB - Test diagonal
0.08799999999999997,8,Gaussian NB - Train parallel
0.10699999999999998,8,Gaussian NB - Test parallel
0.10399999999999998,8,Gaussian NB - Train diagonal
0.1058,8,Gaussian NB - Test diagonal
0.08399999999999996,8,Gaussian NB - Train parallel
0.10740000000000005,8,Gaussian NB - Test parallel
0.10799999999999998,8,Gaussian NB - Train diagonal
0.10350000000000004,8,Gaussian NB - Test diagonal
0.09199999999999997,8,Gaussian NB - Train parallel
0.11270000000000002,8,Gaussian NB - Test parallel
0.128,8,Gaussian NB - Train diagonal
0.10309999999999997,8,Gaussian NB - Test diagonal
0.07599999999999996,8,Gaussian NB - Train parallel
0.10960000000000003,8,Gaussian NB - Test parallel
0.10399999999999998,8,Gaussian NB - Train diagonal
0.10219999999999996,8,Gaussian NB - Test diagonal
0.124,8,Gaussian NB - Train parallel
0.10799999999999998,8,Gaussian NB - Test parallel
0.124,8,Gaussian NB - Train diagonal
0.1059,8,Gaussian NB - Test diagonal
0.11199999999999999,8,Gaussian NB - Train parallel
0.10760000000000003,8,Gaussian NB - Test parallel
0.10799999999999998,8,Gaussian NB - Train diagonal
0.10829999999999995,8,Gaussian NB - Test diagonal
0.10399999999999998,8,Gaussian NB - Train parallel
0.10760000000000003,8,Gaussian NB - Test parallel
0.10399999999999998,8,Gaussian NB - Train diagonal
0.10709999999999997,8,Gaussian NB - Test diagonal
0.09199999999999997,8,Gaussian NB - Train parallel
0.10709999999999997,8,Gaussian NB - Test parallel
0.07999999999999996,8,Gaussian NB - Train diagonal
0.10450000000000004,8,Gaussian NB - Test diagonal
0.07599999999999996,8,Gaussian NB - Train parallel
0.10850000000000004,8,Gaussian NB - Test parallel
0.10799999999999998,8,Gaussian NB - Train diagonal
0.10270000000000001,8,Gaussian NB - Test diagonal
0.09999999999999998,8,Gaussian NB - Train parallel
0.11260000000000003,8,Gaussian NB - Test parallel
0.07599999999999996,8,Gaussian NB - Train diagonal
0.10150000000000003,8,Gaussian NB - Test diagonal
0.09199999999999997,8,Gaussian NB - Train parallel
0.10650000000000004,8,Gaussian NB - Test parallel
0.09599999999999997,8,Gaussian NB - Train diagonal
0.10209999999999997,8,Gaussian NB - Test diagonal
0.09999999999999998,8,Gaussian NB - Train parallel
0.10850000000000004,8,Gaussian NB - Test parallel
0.11599999999999999,8,Gaussian NB - Train diagonal
0.10060000000000002,8,Gaussian NB - Test diagonal
0.09999999999999998,8,Gaussian NB - Train parallel
0.10570000000000002,8,Gaussian NB - Test parallel
0.10399999999999998,8,Gaussian NB - Train diagonal
0.1048,8,Gaussian NB - Test diagonal
0.09199999999999997,8,Gaussian NB - Train parallel
0.10940000000000005,8,Gaussian NB - Test parallel
0.11599999999999999,8,Gaussian NB - Train diagonal
0.10529999999999995,8,Gaussian NB - Test diagonal
